pr_number,pr_url,title,phase,merged_at_utc,additions,deletions,changed_files,session_count,session_aliases,api_calls,ai_credits,pr_activity_start_utc,pr_activity_end_utc,attributed_elapsed_seconds,measured_active_ai_seconds,allocated_active_ai_seconds_estimate,models,telemetry_status,attribution_confidence,what_changed,why_it_mattered,verified_outcome,notes
11,https://github.com/samqbush/adempiere2/pull/11,"Phase 5f: add Jakarta web route contracts, topology, and runtime evidence",Web migration foundation,2026-08-31T13:11:51Z,12597,642,94,6,CLI-019|CLI-020|CLI-021|CLI-022|CLI-023|CLI-024,2828,24192,2026-08-27T15:16:02.085Z,2026-08-31T13:01:22.233Z,322267.812,23999.389,1026.994083333333,claude-opus-5|claude-sonnet-4.6|gpt-5.6-sol,measured_cli,direct|strong_inferred,"Converted the remaining non-SOAP route foundations and six web contexts to deterministic Jakarta artifacts with route contracts, rollback, and runtime evidence.",The modernization expanded beyond one UI slice to the broader web estate while keeping every route owned and testable.,The accepted runtime run recorded 129 public-origin observations across 82 legacy routes and six contexts with zero vector failures.,
12,https://github.com/samqbush/adempiere2/pull/12,Consolidate CI phase gates into two lanes,CI efficiency,2026-08-30T03:25:27Z,464,349,6,1,CLI-022,163,2291,2026-08-30T01:15:20.126Z,2026-08-30T03:24:38.702Z,7758.576,0,1268.445916666667,claude-opus-5|gpt-5.6-sol,measured_cli,direct,Collapsed duplicated pull-request validation from 12 separate jobs into two stable lanes plus a post-merge regression matrix.,This reduced repeated hour-long work and made the modernization feedback loop materially faster without dropping coverage.,Dry-run task-set proofs showed the consolidated lane preserved the prior database-neutral coverage.,
13,https://github.com/samqbush/adempiere2/pull/13,"Phase 5g-0: reconcile Phase 5f, decompose Phase 5g, add discovery inventories",Business write oracle and parity,2026-08-31T18:18:19Z,2267,46,18,2,CLI-025|CLI-027,311,4413,2026-08-31T13:13:09.896Z,2026-08-31T18:03:27.054Z,10544.696,2689.245,0,claude-opus-5|gpt-5.6-sol,measured_cli,direct,"Reconciled Phase 5f, decomposed the remaining UI parity work, and generated discovery inventories before attempting business writes.",The team reduced a very large 'finish the UI' goal into independently reviewable increments with explicit oracle-before-modern governance.,No runtime behavior changed; inventories and the Phase 5g sequencing ADR were accepted.,
14,https://github.com/samqbush/adempiere2/pull/14,Phase 5g-1a: legacy Business Partner write oracle (database-neutral half),Business write oracle and parity,2026-08-31T23:18:10Z,2927,35,25,1,CLI-028,201,2847,2026-08-31T18:19:09.140Z,2026-08-31T21:12:54.091Z,10424.951,2310.912,0,claude-opus-5|gpt-5.6-sol,measured_cli,direct,"Defined the database-neutral contract, attribution scope, measurement rules, normalization policy, and mutation checks for the first Business Partner write oracle.",This prevented the modern implementation from inventing its own expected answer.,The contract skeleton and fail-closed checks landed without modern runtime code or a parity claim.,
15,https://github.com/samqbush/adempiere2/pull/15,"Trim copilot-instructions to durable conventions, not phase status",Business write oracle and parity,2026-09-01T08:40:38Z,113,221,3,1,CLI-029,100,1346,2026-08-31T23:20:19.448Z,2026-09-01T02:19:57.233Z,10777.785,0,993.019908775981,claude-opus-5|gpt-5.6-sol,measured_cli,direct,Trimmed Copilot instructions to durable engineering rules and moved changing phase status back to the modernization plan and evidence documents.,This reduced documentation drift and prevented every phase from rewriting the operating instructions.,A documentation review verified that deleted status facts remained available in authoritative living documents.,
16,https://github.com/samqbush/adempiere2/pull/16,Phase 5g-1a: legacy Business Partner write capture lane,Business write oracle and parity,2026-09-01T12:40:01Z,4270,307,46,1,CLI-029,777,11655,2026-09-01T02:20:00.203Z,2026-09-01T11:14:35.567Z,32075.364,0,7139.791091224018,claude-opus-5,measured_cli,direct,"Built the real legacy browser capture lane for Business Partner create, update, two-user conflict, duplicate behavior, and deactivation with a database snapshot after each step.",The legacy application finally produced the independently frozen business answer that the modern UI would have to match.,"The accepted oracle used full database restore isolation, per-step effects, self-diff, domain review, and fail-closed scoring.",
17,https://github.com/samqbush/adempiere2/pull/17,Phase 5g-1a-x: amend and re-freeze the legacy write oracle,Business write oracle and parity,2026-09-01T18:34:10Z,1266,109,31,1,CLI-030,220,3300,2026-09-01T13:15:23.560Z,2026-09-01T18:34:01.448Z,19117.888,0,2066.236876971609,claude-opus-5,measured_cli,direct,"Amended and re-froze the legacy oracle to cover transport policy, duplicate submission, content-sensitive effects, and modern-versus-legacy browser error classification.","The comparison rules were completed before looking at the modern answer, preserving the integrity of the parity test.",The updated oracle remained legacy-only and added mutation proofs for the newly frozen obligations.,
18,https://github.com/samqbush/adempiere2/pull/18,Phase 5g-1b: modern Business Partner CRUD parity,Business write oracle and parity,2026-09-04T21:43:24Z,9253,1298,60,3,CLI-026|CLI-030|CLI-031,1733,18155,2026-09-01T12:41:41.667Z,2026-09-04T19:46:11.040Z,99523.254,0,15710.416536076793,claude-opus-4.8|claude-opus-5|claude-sonnet-5|gpt-5.6-luna|gpt-5.6-sol,partial_measured_late_commits_unrecorded,direct,"Implemented modern ZK CE 10 Business Partner create, update, second-editor update, stale-save refusal, duplicate-submit protection, deactivation, workflow attribution, and session cleanup through the public route.",This was the first proven business write on the modern UI and the first direct legacy-versus-modern business parity result.,"Two 12-step captures self-diffed, matched the frozen oracle, passed six fail-closed controls, and later passed the complete post-merge regression matrix after follow-up fixes.",Known measured minimum. Two final PR commits were authored after the last matching usage-bearing session.
19,https://github.com/samqbush/adempiere2/pull/19,Phase 5g-1a-y: correct workflow attribution oracle,Business write oracle and parity,2026-09-03T20:34:48Z,3800,130,43,1,CLI-031,723,723,2026-09-03T13:55:00.091Z,2026-09-03T17:31:47.482Z,13007.391,0,7877.512904024768,claude-sonnet-5|gpt-5.6-sol,measured_cli,direct,"Corrected the legacy workflow-attribution oracle so process, activity, and event-audit records were measured against the saving user's invocation context.","The parity result now proved that audit ownership was correct, not merely that a workflow row existed.","The corrected legacy candidate was provenance-pinned, mutation-tested, reviewed, frozen, and accepted before PR #18 used it.",
20,https://github.com/samqbush/adempiere2/pull/20,Harden Phase 5e routed transitions,Business write oracle and parity,2026-09-04T02:19:43Z,1265,184,31,0,,,,,,,,,,unknown_not_recorded,unknown,Hardened routing during handoff transitions so approved theme assets could load safely and concurrent logout responses had one cleanup/navigation owner.,This removed user-visible errors and stuck logout pages without weakening the routing security boundary.,Targeted routing contracts and later PR #18 runtime evidence verified the correction.,No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
21,https://github.com/samqbush/adempiere2/pull/21,Fix routed logout affinity classification,Business write oracle and parity,2026-09-05T00:13:14Z,161,27,6,0,,,,,,,,,,unknown_not_recorded,unknown,Distinguished a recently logged-out session from a session whose modern-server affinity was lost after restart.,The router could complete a legitimate logout handshake while still rejecting unknown or stale sessions instead of silently falling back.,The post-merge regression matrix passed the current parity smoke and all eight historical database-backed lanes.,No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
22,https://github.com/samqbush/adempiere2/pull/22,Add first modern Business Partner demo bundle,Portable demo,2026-09-05T08:52:45Z,2174,69,37,1,CLI-026,132,328,2026-09-04T12:44:23.791Z,2026-09-04T13:08:07.820Z,1424.029,0,1124.140912195122,claude-opus-4.8|gpt-5.6-sol,planning_measured_implementation_unknown,direct_planning,"Packaged the accepted Business Partner slice as a digest-pinned OCI/Compose bundle with generated secrets, safe database ownership markers, one public loopback port, browser smoke, and an operator walkthrough.","A business user could run the modern workflow from a downloaded artifact without Git, Java, Gradle, Ant, or repository sources.",The initial bundle was structurally complete; later PRs corrected clean-host defects before final acceptance.,Measured credits cover the approved demo plan only. Implementation and follow-up execution telemetry were not recorded.
23,https://github.com/samqbush/adempiere2/pull/23,Fix demo database health probe,Portable demo,2026-09-05T10:24:44Z,15,8,2,0,,,,,,,,,,unknown_not_recorded,unknown,Fixed the PostgreSQL health probe so psql variables were expanded instead of sent literally.,The downloaded demo could correctly determine when its private database was ready.,The validator was made fail-closed against the broken command form that the first artifact run exposed.,No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
24,https://github.com/samqbush/adempiere2/pull/24,Use absolute Java path in demo runtime,Portable demo,2026-09-05T12:11:58Z,12,3,4,0,,,,,,,,,,unknown_not_recorded,unknown,Changed application launchers to use the preserved absolute JAVA_HOME executable.,The non-root runtime no longer depended on a shell PATH that Debian reset during startup.,The demo contract now rejects PATH-dependent Java launchers.,No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
25,https://github.com/samqbush/adempiere2/pull/25,Create Tomcat runtime directories in demo bundle,Portable demo,2026-09-05T14:00:55Z,6,0,2,0,,,,,,,,,,unknown_not_recorded,unknown,"Created Tomcat 10's mutable logs, temp, work, and webapps directories before startup.",The packaged server could start on a clean host instead of assuming directories left by a build machine.,A contract mutation check prevents removal of the directory initialization.,No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
26,https://github.com/samqbush/adempiere2/pull/26,Render the modern demo context before startup,Portable demo,2026-09-05T15:51:27Z,24,2,2,0,,,,,,,,,,unknown_not_recorded,unknown,Rendered the modern Tomcat context descriptor with the actual runtime base path before deployment and improved failure logs.,The public /webui route could find the modern application instead of timing out on a 404.,Focused descriptor substitution and contract checks reproduced and closed the artifact failure.,No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
27,https://github.com/samqbush/adempiere2/pull/27,Generate raw handoff key material for the demo,Portable demo,2026-09-05T17:39:01Z,39,1,2,0,,,,,,,,,,unknown_not_recorded,unknown,"Generated the handoff secret as 48 raw cryptographic bytes and validated its length, permissions, and non-placeholder shape.",The two web runtimes could authenticate their private handoff without accepting predictable printable key material.,The demo rejected printable or malformed keys before Docker execution.,No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
28,https://github.com/samqbush/adempiere2/pull/28,Separate demo host ingress from the database network,Portable demo,2026-09-05T19:15:01Z,50,1,2,0,,,,,,,,,,unknown_not_recorded,unknown,Separated host ingress from the internal database network while keeping PostgreSQL private and publishing only 127.0.0.1:8888.,The host browser could reach the application without exposing the database or the modern backend directly.,The rendered Compose topology and mutation proof verified the exact network and port boundary.,No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
29,https://github.com/samqbush/adempiere2/pull/29,Verify demo browser writes by read-back,Portable demo,2026-09-05T21:54:45Z,112,6,4,0,,,,,,,,,,unknown_not_recorded,unknown,Changed the browser smoke to save a Business Partner and then force a database-backed lookup/read-back rather than trusting serialized page HTML.,The demo proved that the business record was actually persisted and retrievable through the modern UI.,The accepted browser test remained modern-only and the contract rejects weaker page-content assertions.,No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
30,https://github.com/samqbush/adempiere2/pull/30,Record first modern business demo acceptance,Portable demo,2026-09-05T23:29:39Z,105,51,5,0,,,,,,,,,,unknown_not_recorded,unknown,"Recorded the first fully accepted clean-download demo run and documented the presenter path, lifecycle, evidence, and limits.",The modernization had a repeatable artifact and a clear business-user story rather than only engineering gates.,"Workflow run 33994400756 completed init, startup, browser create/read-back, workflow verification, reset, second verification, health capture, and teardown.",No matching usage-bearing Copilot CLI session was present in the available cloud or local history.
UNALLOCATED,,Shared modernization planning and progress review,Program-wide,,,,,1,CLI-026,12,12,2026-08-31T15:08:30.704Z,2026-09-02T16:31:32.602Z,177781.898,0,89.602770731707,gpt-5.6-sol,measured_but_not_pr_specific,shared_unallocated,"Reviewed overall progress, remaining scope, and demo readiness without changing a specific PR.",These sessions informed program direction but should not be charged to an arbitrary implementation PR.,Retained as a separate reconciliation row.,Included in overall measured totals and excluded from individual PR totals.
